id|idioma|id_1
52473|español|29985
52474|español|29986
52475|español|29987
52476|español|29988
52477|español|29989
52478|español|29990
52479|español|29991
52480|español|29992
52481|español|29993
52482|español|29994
52483|español|29995
52484|español|29996
52485|español|29997
52486|español|29998
52487|español|29999
52488|español|30000
52489|español|30001
52490|español|30002
52491|español|30003
52492|español|30004
52493|español|30005
52494|español|30006
52495|español|30007
52496|español|30008
52497|español|30009
52498|español|30010
52499|español|30011
52500|español|30012
52501|español|30013
52502|español|30014
52503|español|30015
52504|español|30016
52505|español|30017
52506|español|30018
52507|español|30019
52508|español|30020
52509|español|30021
52510|español|30022
52511|español|30023
52512|español|30024
52513|español|30025
52514|español|30026
52515|español|30027
52516|español|30028
52517|español|30029
52518|español|30030
52519|español|30031
52520|español|30032
52521|español|30033
52522|español|30034
52523|español|30035
52524|español|30036
52525|español|30037
52526|español|30038
52527|español|30039
52528|español|30040
52529|español|30041
52530|español|30042
52531|español|30043
52532|español|30044
52533|español|30045
52534|español|30046
52535|español|30047
52536|español|30048
52537|español|30049
52538|español|30050
52539|español|30051
52540|español|30052
52541|español|30053
52542|español|30054
52543|español|30055
52544|español|30056
52545|español|30057
52546|español|30058
52547|español|30059
52548|español|30060
52549|español|30061
52550|español|30062
52551|español|30063
52552|español|30064
52553|español|30065
52554|español|30066
52555|español|30067
52556|español|30068
52557|español|30069
52558|español|30070
52559|español|30071
52560|español|30072
52561|español|30073
52562|español|30074
52563|español|30075
52564|español|30076
52565|español|30077
52566|español|30078
52567|español|30079
52568|español|30080
52569|español|30081
52570|español|30082
52571|español|30083
52572|español|30084
52573|español|30085
52574|español|30086
52575|español|30087
52576|español|30088
52577|español|30089
52578|español|30090
52579|español|30091
52580|español|30092
52581|español|30093
52582|español|30094
52583|español|30095
52584|español|30096
52585|español|30097
52586|español|30098
52587|español|30099
52588|español|30100
52589|español|30101
52590|español|30102
52591|español|30103
52592|español|30104
52593|español|30105
52594|español|30106
52595|español|30107
52596|español|30108
52597|español|30109
52598|español|30110
52599|español|30111
52600|español|30112
52601|español|30113
52602|español|30114
52603|español|30115
52604|español|30116
52605|español|30117
52606|español|30118
52607|español|30119
52608|español|30120
52609|español|30121
52610|español|30122
52611|español|30123
52612|español|30124
52613|español|30125
52614|español|30126
52615|español|30127
52616|español|30128
52617|español|30129
52618|español|30130
52619|español|30131
52620|español|30132
52621|español|30133
52622|español|30134
52623|español|30135
52624|español|30136
52625|español|30137
52626|español|30138
52627|español|30139
52628|español|30140
52629|español|30141
52630|español|30142
52631|español|30143
52632|español|30144
52633|español|30145
52634|español|30146
52635|español|30147
52636|español|30148
52637|español|30149
52638|español|30150
52639|español|30151
52640|español|30152
52641|español|30153
52642|español|30154
52643|español|30155
52644|español|30156
52645|español|30157
52646|español|30158
52647|español|30159
52648|español|30160
52649|español|30161
52650|español|30162
52651|español|30163
52652|español|30164
52653|español|30165
52654|español|30166
52655|español|30167
52656|español|30168
52657|español|30169
52658|español|30170
52659|español|30171
52660|español|30172
52661|español|30173
52662|español|30174
52663|español|30175
52664|español|30176
52665|español|30177
52666|español|30178
52667|español|30179
52668|español|30180
52669|español|30181
52670|español|30182
52671|español|30183
52672|español|30184
52673|español|30185
52674|español|30186
52675|español|30187
52676|español|30188
52677|español|30189
52678|español|30190
52679|español|30191
52680|español|30192
52681|español|30193
52682|español|30194
52683|español|30195
52684|español|30196
52685|español|30197
52686|español|30198
52687|español|30199
52688|español|30200
52689|español|30201
52690|español|30202
52691|español|30203
52692|español|30204
52693|español|30205
52694|español|30206
52695|español|30207
52696|español|30208
52697|español|30209
52698|español|30210
52699|español|30211
52700|español|30212
52701|español|30213
52702|español|30214
52703|español|30215
52704|español|30216
52705|español|30217
52706|español|30218
52707|español|30219
52708|español|30220
52709|español|30221
52710|español|30222
52711|español|30223
52712|español|30224
52713|español|30225
52714|español|30226
52715|español|30227
52716|español|30228
52717|español|30229
52718|español|30230
52719|español|30231
52720|español|30232
52721|español|30233
52722|español|30234
52723|español|30235
52724|español|30236
52725|español|30237
52726|español|30238
52727|español|30239
52728|español|30240
52729|español|30241
52730|español|30242
52731|español|30243
52732|español|30244
52733|español|30245
52734|español|30246
52735|español|30247
52736|español|30248
52737|español|30249
52738|español|30250
52739|español|30251
52740|español|30252
52741|español|30253
52742|español|30254
52743|español|30255
52744|español|30256
52745|español|30257
52746|español|30258
52747|español|30259
52748|español|30260
52749|español|30261
52750|español|30262
52751|español|30263
52752|español|30264
52753|español|30265
52754|español|30266
52755|español|30267
52756|español|30268
52757|español|30269
52758|español|30270
52759|español|30271
52760|español|30272
52761|español|30273
52762|español|30274
52763|español|30275
52764|español|30276
52765|español|30277
52766|español|30278
52767|español|30279
52768|español|30280
52769|español|30281
52770|español|30282
52771|español|30283
52772|español|30284
52773|español|30285
52774|español|30286
52775|español|30287
52776|español|30288
52777|español|30289
52778|español|30290
52779|español|30291
52780|español|30292
52781|español|30293
52782|español|30294
52783|español|30295
52784|español|30296
52785|español|30297
52786|español|30298
52787|español|30299
52788|español|30300
52789|español|30301
52790|español|30302
52791|español|30303
52792|español|30304
52793|español|30305
52794|español|30306
52795|español|30307
52796|español|30308
52797|español|30309
52798|español|30310
52799|español|30311
52800|español|30312
52801|español|30313
52802|español|30314
52803|español|30315
52804|español|30316
52805|español|30317
52806|español|30318
52807|español|30319
52808|español|30320
52809|español|30321
52810|español|30322
52811|español|30323
52812|español|30324
52813|español|30325
52814|español|30326
52815|español|30327
52816|español|30328
52817|español|30329
52818|español|30330
52819|español|30331
52820|español|30332
52821|español|30333
52822|español|30334
52823|español|30335
52824|español|30336
52825|español|30337
52826|español|30338
52827|español|30339
52828|español|30340
